N,Bubble_s,Selection_s,Insertion_s,Bubble_hms,Selection_hms,Insertion_hms
1000,0.0013328,0.00026030000000000004,9.82e-05,00:00:00,00:00:00,00:00:00
5000,0.03332,0.006507500000000002,0.0024550000000000006,00:00:00,00:00:00,00:00:00
10000,0.13328,0.026030000000000008,0.009820000000000002,00:00:00,00:00:00,00:00:00
20000,0.53312,0.10412000000000003,0.03928000000000001,00:00:01,00:00:00,00:00:00
50000,3.332,0.65075,0.2455,00:00:03,00:00:01,00:00:00
100000,13.328,2.603,0.982,00:00:13,00:00:03,00:00:01
200000,53.312,10.412,3.928,00:00:53,00:00:10,00:00:04
500000,333.2,65.075,24.55,00:05:33,00:01:05,00:00:25
1000000,1332.8,260.3,98.2,00:22:13,00:04:20,00:01:38
10000000,133280.0,26030.000000000004,9820.0,37:01:20,07:13:50,02:43:40
